PMID,First_author,Year,Record.no,Group.ID,Group.name,Sample.size,GMT,GMT_ll,GMT_ul,Time,Immunity.type,Tested.variant,Age.group,Assay,logGMT,sd_logGMT
38226248,S. Assawakosri,2023,1,B,2*CoronaVac+1*ChAdOx1,55,243,172,345,28,Heterologous booster,Omicron,Adults,FRNT,5.493061443,0.17756376
38226248,S. Assawakosri,2023,2,B,2*CoronaVac+1*ChAdOx1,28,60.1,44.4,81.3,105,Heterologous booster,Omicron,Adults,FRNT,4.096009842,0.154312895
38226248,S. Assawakosri,2023,3,C,2*CoronaVac+1*BNT162b2,54,313,202,486,28,Heterologous booster,Omicron,Adults,FRNT,5.746203191,0.223964522
38226248,S. Assawakosri,2023,4,C,2*CoronaVac+1*BNT162b2,25,82.6,59.6,114,105,Heterologous booster,Omicron,Adults,FRNT,4.414009681,0.165444611
38226248,S. Assawakosri,2023,5,D,2*CoronaVac+1*mRNA-1273,58,645,424,981,28,Heterologous booster,Omicron,Adults,FRNT,6.469250317,0.213989542
38226248,S. Assawakosri,2023,6,D,2*CoronaVac+1*mRNA-1273,39,133,76,232,105,Heterologous booster,Omicron,Adults,FRNT,4.890349128,0.284694906
38226248,S. Assawakosri,2023,7,B,2*CoronaVac+1*ChAdOx1,55,340,233,495,28,Heterologous booster,Omicron,Adults,FRNT,5.828945618,0.192224314
38226248,S. Assawakosri,2023,8,B,2*CoronaVac+1*ChAdOx1,28,76.5,51.6,114,105,Heterologous booster,Omicron,Adults,FRNT,4.337290741,0.202213463
38226248,S. Assawakosri,2023,9,C,2*CoronaVac+1*BNT162b2,54,449,289,696,28,Heterologous booster,Omicron,Adults,FRNT,6.107022888,0.224215044
38226248,S. Assawakosri,2023,10,C,2*CoronaVac+1*BNT162b2,25,70.5,41.9,119,105,Heterologous booster,Omicron,Adults,FRNT,4.25561271,0.266285119
38226248,S. Assawakosri,2023,11,D,2*CoronaVac+1*mRNA-1273,58,1035,740,1449,28,Heterologous booster,Omicron,Adults,FRNT,6.942156706,0.171423152
38226248,S. Assawakosri,2023,12,D,2*CoronaVac+1*mRNA-1273,39,229,160,329,105,Heterologous booster,Omicron,Adults,FRNT,5.433722004,0.183898963
37731938,S. Hannawi,2023,1,A,3*BBIBP-CorV,100,219,166,285,28,3*Inactivated,Omicron,Adults,PRNT,5.38907173,0.137883008
37731938,S. Hannawi,2023,2,A,3*BBIBP-CorV,80,281,199,341,180,3*Inactivated,Omicron,Adults,PRNT,5.638354669,0.137392258
37731938,S. Hannawi,2023,3,A,3*BBIBP-CorV,100,667,530,846,28,3*Inactivated,Delta,Adults,PRNT,6.502790046,0.119296519
37731938,S. Hannawi,2023,4,A,3*BBIBP-CorV,80,592,464,741,180,3*Inactivated,Delta,Adults,PRNT,6.383506635,0.119417366
