"PMID","First.author","Year","Record.no","Group.ID","Group.name","Vaccinated_cases","Vaccinated_controls","Unvaccinated_cases","Unvaccinated_controls","VE","VE_ll","VE_ul","Severity","Time","Vaccination.type","Variant","Exposed_age","logRR"
37839947,"Takeshi Arashiro",2023,1,"A","2*mRNA",82,180,516,371,52,34,66,"Mild infection",51.5,"2*mRNA","Omicron","All",-0.7339691750802
37839947,"Takeshi Arashiro",2023,2,"A","2*mRNA",823,1043,516,371,50,39,58,"Mild infection",134.5,"2*mRNA","Omicron","All",-0.693147180559945
37839947,"Takeshi Arashiro",2023,5,"C","2*mRNA",17,14,499,180,49,-17,77,"Mild infection",51.5,"2*mRNA","Omicron","All",-0.673344553263766
37839947,"Takeshi Arashiro",2023,6,"C","2*mRNA",53,40,499,180,56,27,73,"Mild infection",134.5,"2*mRNA","Omicron","All",-0.82098055206983
35918782,"Takeshi Arashiro",2023,1,"A","2*mRNA",30,289,561,474,88,82,93,"Mild infection",51.5,"2*mRNA","Delta","Adults",-2.12026353620009
35918782,"Takeshi Arashiro",2023,2,"A","2*mRNA",2,21,561,474,87,38,97,"Mild infection",134.5,"2*mRNA","Delta","Adults",-2.04022082852655
35918782,"Takeshi Arashiro",2023,3,"B","2*mRNA",74,169,361,221,56,37,70,"Mild infection",51.5,"2*mRNA","Omicron","Adults",-0.82098055206983
35918782,"Takeshi Arashiro",2023,4,"B","2*mRNA",767,971,361,221,52,40,62,"Mild infection",134.5,"2*mRNA","Omicron","Adults",-0.7339691750802
36630477,"Thiago Cerqueira-Silva",2023,1,"A","2*ChAdOx1",23179,19434,193608,126679,26.7,25.2,28.2,"Mild infection",36.5,"Primary series viral vector","Omicron","Adults",-0.310609577095486
36630477,"Thiago Cerqueira-Silva",2023,2,"A","2*ChAdOx1",759520,407927,193608,126679,-0.3,-1.2,0.6,"Mild infection",89.5,"Primary series viral vector","Omicron","Adults",0.00299550897979837
36630477,"Thiago Cerqueira-Silva",2023,7,"C","2*BNT162b2",64872,85901,193608,126679,49.2,48.5,49.9,"Mild infection",36.5,"2*mRNA","Omicron","Adults",-0.677273831403655
36630477,"Thiago Cerqueira-Silva",2023,8,"C","2*BNT162b2",725973,553183,193608,126679,19.4,18.7,20.1,"Mild infection",89.5,"2*mRNA","Omicron","Adults",-0.215671536475509
36630477,"Thiago Cerqueira-Silva",2023,29,"I","2*ChAdOx1",156,19434,10356,126679,77.1,72.9,80.6,"Severe",36.5,"Primary series viral vector","Omicron","Adults",-1.4740332754279
36630477,"Thiago Cerqueira-Silva",2023,30,"I","2*ChAdOx1",4487,407927,10356,126679,76.3,75.2,77.3,"Severe",89.5,"Primary series viral vector","Omicron","Adults",-1.43969513784701
36630477,"Thiago Cerqueira-Silva",2023,35,"K","2*BNT162b2",305,85901,10356,126679,82.9,80.6,85,"Severe",36.5,"2*mRNA","Omicron","Adults",-1.76609172247948
36630477,"Thiago Cerqueira-Silva",2023,36,"K","2*BNT162b2",2341,553183,10356,126679,84.9,84,85.7,"Severe",89.5,"2*mRNA","Omicron","Adults",-1.89047544216721
36795625,"Katherine E Fleming-Dutra",2023,1,"A","2*mRNA-1273",81,735,9523,25459,60,49,68,"Mild infection",51.5,"2*mRNA","Omicron","Children",-0.916290731874155
36795625,"Katherine E Fleming-Dutra",2023,2,"A","2*mRNA-1273",58,437,9523,25459,36,15,52,"Mild infection",119.5,"2*mRNA","Omicron","Children",-0.446287102628419
36645782,"Iulia G Ionescu",2023,1,"A","2*BNT162b2",15,5146,1649,13911,97.7,96.2,98.6,"Mild infection",20.5,"2*mRNA","Delta","Children",-3.77226106305299
36645782,"Iulia G Ionescu",2023,2,"A","2*BNT162b2",82,23655,1649,13911,97,96.3,97.6,"Mild infection",41.5,"2*mRNA","Delta","Children",-3.50655789731998
36645782,"Iulia G Ionescu",2023,3,"A","2*BNT162b2",131,31159,1649,13911,96.1,95.3,96.7,"Mild infection",69.5,"2*mRNA","Delta","Children",-3.24419363285249
36645782,"Iulia G Ionescu",2023,4,"A","2*BNT162b2",162,21567,1649,13911,93.8,92.7,94.8,"Mild infection",97.5,"2*mRNA","Delta","Children",-2.78062089393704
36645782,"Iulia G Ionescu",2023,5,"A","2*BNT162b2",88,8326,1649,13911,92.4,90.4,94,"Mild infection",125.5,"2*mRNA","Delta","Children",-2.57702193869581
36645782,"Iulia G Ionescu",2023,6,"B","2*BNT162b2",11,288,845,3644,83.1,68.9,90.8,"Mild infection",20.5,"2*mRNA","Mixture of variants","Children",-1.77785656405906
36645782,"Iulia G Ionescu",2023,7,"B","2*BNT162b2",25,922,845,3644,88.2,82.3,92.1,"Mild infection",41.5,"2*mRNA","Mixture of variants","Children",-2.13707065451647
36645782,"Iulia G Ionescu",2023,8,"B","2*BNT162b2",64,1754,845,3644,84.3,79.6,87.9,"Mild infection",69.5,"2*mRNA","Mixture of variants","Children",-1.85150947363383
36645782,"Iulia G Ionescu",2023,9,"B","2*BNT162b2",143,5331,845,3644,87.6,85.1,89.7,"Mild infection",97.5,"2*mRNA","Mixture of variants","Children",-2.0874737133771
36645782,"Iulia G Ionescu",2023,10,"B","2*BNT162b2",689,15225,845,3644,82.7,80.7,84.6,"Mild infection",125.5,"2*mRNA","Mixture of variants","Children",-1.75446368448436
36645782,"Iulia G Ionescu",2023,11,"B","2*BNT162b2",535,7542,845,3644,75.4,72.1,78.4,"Mild infection",153.5,"2*mRNA","Mixture of variants","Children",-1.40242374304977
36645782,"Iulia G Ionescu",2023,12,"C","2*BNT162b2",45,224,1752,2140,75.6,65.8,82.6,"Mild infection",20.5,"2*mRNA","Omicron","Children",-1.41058705368893
36645782,"Iulia G Ionescu",2023,13,"C","2*BNT162b2",182,536,1752,2140,59.3,50.9,66.3,"Mild infection",41.5,"2*mRNA","Omicron","Children",-0.898942093539542
36645782,"Iulia G Ionescu",2023,14,"C","2*BNT162b2",376,811,1752,2140,48.1,39.9,55.1,"Mild infection",69.5,"2*mRNA","Omicron","Children",-0.655851395816249
36645782,"Iulia G Ionescu",2023,15,"C","2*BNT162b2",784,1613,1752,2140,50.9,44.9,56.3,"Mild infection",97.5,"2*mRNA","Omicron","Children",-0.711311151187616
36645782,"Iulia G Ionescu",2023,16,"C","2*BNT162b2",3081,6061,1752,2140,46,40.9,50.7,"Mild infection",125.5,"2*mRNA","Omicron","Children",-0.616186139423817
36645782,"Iulia G Ionescu",2023,17,"C","2*BNT162b2",5897,10773,1752,2140,44.6,40,49,"Mild infection",153.5,"2*mRNA","Omicron","Children",-0.590590592234853
36645782,"Iulia G Ionescu",2023,19,"D","2*BNT162b2",32,107,1225,1019,72.1,57.6,81.6,"Mild infection",20.5,"2*mRNA","Omicron","Children",-1.27654349716077
36645782,"Iulia G Ionescu",2023,20,"D","2*BNT162b2",121,306,1225,1019,64.5,55.1,72,"Mild infection",41.5,"2*mRNA","Omicron","Children",-1.03563748950672
36645782,"Iulia G Ionescu",2023,21,"D","2*BNT162b2",294,525,1225,1019,50.2,40.8,58.1,"Mild infection",69.5,"2*mRNA","Omicron","Children",-0.697155201957484
36645782,"Iulia G Ionescu",2023,22,"D","2*BNT162b2",674,1250,1225,1019,53.6,47.1,59.3,"Mild infection",97.5,"2*mRNA","Omicron","Children",-0.767870726755882
36645782,"Iulia G Ionescu",2023,23,"D","2*BNT162b2",2849,5382,1225,1019,49.1,43.7,54.1,"Mild infection",125.5,"2*mRNA","Omicron","Children",-0.675307262431614
36645782,"Iulia G Ionescu",2023,24,"D","2*BNT162b2",5256,8976,1225,1019,47.7,42.4,52.4,"Mild infection",153.5,"2*mRNA","Omicron","Children",-0.648173814917214
36645782,"Iulia G Ionescu",2023,26,"E","2*BNT162b2",12,1397,2076,8094,96.8,94.4,98.2,"Mild infection",20.5,"2*mRNA","Delta","Children",-3.44201937618241
36645782,"Iulia G Ionescu",2023,27,"E","2*BNT162b2",60,7624,2076,8094,96.7,95.7,97.5,"Mild infection",41.5,"2*mRNA","Delta","Children",-3.41124771751566
36645782,"Iulia G Ionescu",2023,28,"E","2*BNT162b2",105,13437,2076,8094,96.2,95.3,96.9,"Mild infection",69.5,"2*mRNA","Delta","Children",-3.27016911925575
36645782,"Iulia G Ionescu",2023,29,"E","2*BNT162b2",96,7316,2076,8094,95.2,94.1,96.2,"Mild infection",97.5,"2*mRNA","Delta","Children",-3.03655426807425
36645782,"Iulia G Ionescu",2023,30,"E","2*BNT162b2",53,1982,2076,8094,90.9,87.7,93.2,"Mild infection",125.5,"2*mRNA","Delta","Children",-2.39689577246529
36645782,"Iulia G Ionescu",2023,31,"F","2*BNT162b2",3,224,264,1029,94.8,83.7,98.4,"Mild infection",41.5,"2*mRNA","Mixture of variants","Children",-2.95651156040071
36645782,"Iulia G Ionescu",2023,32,"F","2*BNT162b2",10,319,264,1029,87.8,76.6,93.6,"Mild infection",69.5,"2*mRNA","Mixture of variants","Children",-2.10373423424888
36645782,"Iulia G Ionescu",2023,33,"F","2*BNT162b2",14,670,264,1029,91.6,85.4,95.2,"Mild infection",97.5,"2*mRNA","Mixture of variants","Children",-2.47693848013882
36645782,"Iulia G Ionescu",2023,34,"F","2*BNT162b2",97,2836,264,1029,86.5,82.5,89.5,"Mild infection",125.5,"2*mRNA","Mixture of variants","Children",-2.00248050054371
